Fichier, Temps Naif (µs), Temps Welzl (µs)
test-1204.points, 119326, 27
test-1205.points, 105934, 34
test-1206.points, 117520, 36
test-1207.points, 91059, 16
test-1208.points, 122383, 25
test-1209.points, 117449, 31
test-121.points, 90042, 23
test-1210.points, 111085, 15
test-1211.points, 119940, 33
test-1212.points, 107923, 30
test-1213.points, 102043, 26
test-1214.points, 102330, 16
test-1215.points, 99408, 24
test-1216.points, 137678, 29
test-1217.points, 111651, 24
test-1218.points, 103718, 36
test-1219.points, 135718, 28
test-122.points, 102280, 17
test-1220.points, 95634, 37
test-1221.points, 90098, 22
test-1222.points, 99887, 25
test-1223.points, 141930, 29
test-1224.points, 88020, 33
test-1225.points, 134924, 26
test-1226.points, 112665, 23
test-1227.points, 97170, 34
test-1228.points, 106641, 18
test-1229.points, 117571, 34
test-123.points, 103038, 54
test-1230.points, 105789, 18
test-1231.points, 99886, 23
test-1232.points, 117021, 22
test-1233.points, 126446, 25
test-1234.points, 101240, 29
test-1235.points, 103788, 29
test-1236.points, 118781, 23
test-1237.points, 108349, 37
test-1238.points, 102197, 14
test-1239.points, 111771, 36
test-124.points, 82468, 9
test-1240.points, 155696, 32
test-1241.points, 92576, 14
test-1242.points, 106047, 16
test-1243.points, 93629, 12
test-1244.points, 107371, 17
test-1245.points, 95443, 29
test-1246.points, 106440, 18
test-1247.points, 117696, 36
test-1248.points, 124143, 18
test-1249.points, 100573, 15
test-125.points, 123550, 21
test-1250.points, 94914, 24
test-1251.points, 90274, 20
test-1252.points, 109796, 21
test-1253.points, 167013, 29
test-1254.points, 109908, 22
test-1255.points, 103821, 52
test-1256.points, 95378, 46
test-1257.points, 120931, 22
test-1258.points, 110321, 27
test-1259.points, 107438, 15
test-126.points, 95885, 37
test-1260.points, 100012, 11
test-1261.points, 103984, 16
test-1262.points, 116599, 52
test-1263.points, 97388, 18
test-1264.points, 94240, 23
test-1265.points, 132228, 18
test-1266.points, 127675, 37
test-1267.points, 135674, 36
test-1268.points, 113797, 30
test-1269.points, 103017, 19
test-127.points, 93542, 16
test-1270.points, 119804, 32
test-1271.points, 118611, 25
test-1272.points, 113453, 22
test-1273.points, 112164, 24
test-1274.points, 141618, 16
test-1275.points, 98369, 26
test-1276.points, 100600, 27
test-1277.points, 120499, 22
test-1278.points, 138765, 40
test-1279.points, 87570, 12
test-128.points, 97689, 32
test-1280.points, 107917, 21
test-1281.points, 201259, 22
test-1282.points, 91453, 25
test-1283.points, 98149, 12
test-1284.points, 129180, 22
test-1285.points, 112643, 22
test-1286.points, 108707, 26
test-1287.points, 93783, 17
test-1288.points, 123601, 23
test-1289.points, 110669, 29
test-129.points, 102502, 18
test-1290.points, 108290, 24
test-1291.points, 114664, 31
test-1292.points, 90597, 32
test-1293.points, 110788, 15
test-1294.points, 110422, 34
test-1295.points, 101975, 28
test-1296.points, 89520, 20
test-1297.points, 107844, 16
test-1298.points, 102509, 25
test-1299.points, 123512, 26
test-13.points, 121943, 18
test-130.points, 93246, 24
test-1300.points, 106098, 23
test-1301.points, 120057, 19
test-1302.points, 114871, 25
test-1303.points, 88737, 14
test-1304.points, 94202, 18
test-1305.points, 103372, 20
test-1306.points, 105601, 23
test-1307.points, 104150, 26
test-1308.points, 106928, 26
test-1309.points, 100388, 26
test-131.points, 90376, 12
test-1310.points, 99095, 13
test-1311.points, 148470, 26
test-1312.points, 88992, 14
test-1313.points, 114727, 48
test-1314.points, 124703, 21
test-1315.points, 93324, 13
test-1316.points, 108934, 19
test-1317.points, 106573, 20
test-1318.points, 137720, 34
test-1319.points, 102509, 25
test-132.points, 102711, 22
test-1320.points, 96044, 16
test-1321.points, 104584, 20
test-1322.points, 102926, 21
test-1323.points, 89451, 34
test-1324.points, 97625, 26
test-1325.points, 93204, 14
test-1326.points, 119878, 26
test-1327.points, 96118, 10
test-1328.points, 124673, 55
test-1329.points, 104143, 14
test-133.points, 93711, 13
test-1330.points, 119856, 17
test-1331.points, 107526, 16
test-1332.points, 132630, 34
test-1333.points, 121604, 44
test-1334.points, 111688, 28
